frame,keypoint,x,y
93,0,918,281
93,1,876,375
93,2,793,375
93,3,751,446
93,4,834,540
93,5,918,375
93,6,960,469
93,7,918,540
93,8,834,540
93,9,834,657
93,10,751,845
93,11,918,540
93,12,918,633
94,0,960,305
94,1,876,375
94,2,793,375
94,3,751,446
94,4,834,540
94,5,918,375
94,6,960,469
94,7,918,540
94,8,834,540
94,9,834,657
94,10,751,821
94,11,918,540
94,12,918,633
95,0,876,281
95,1,876,375
95,2,834,375
95,3,751,469
95,4,834,540
95,5,960,375
95,6,960,469
95,7,918,540
95,8,834,540
95,9,834,657
95,10,751,821
95,11,918,540
95,12,960,704
95,13,960,868
96,0,918,281
96,1,876,375
96,2,834,375
96,3,751,469
96,4,834,563
96,5,960,375
96,6,960,469
96,7,918,563
96,8,834,563
96,9,834,657
96,10,751,821
96,11,918,563
96,12,960,704
97,0,876,305
97,1,876,375
97,2,793,375
97,3,751,469
97,4,834,563
97,5,960,375
97,6,960,493
97,7,918,563
97,8,793,563
97,9,793,704
97,10,751,868
97,11,918,563
97,12,960,727
97,13,960,892
98,0,876,305
98,1,876,375
98,2,834,375
98,3,751,469
98,4,834,563
98,5,960,375
98,6,960,493
98,7,918,563
98,8,793,563
98,9,834,657
98,10,751,821
98,11,918,563
98,12,960,727
98,13,960,892
99,0,876,281
99,1,876,375
99,2,834,375
99,3,751,493
99,4,834,563
99,5,960,375
99,6,960,493
99,7,918,563
99,8,793,563
99,9,793,704
99,10,751,868
99,11,918,563
99,12,960,727
99,13,960,892
100,0,876,281
100,1,876,375
100,2,834,375
100,3,751,493
100,4,834,563
100,5,960,375
100,6,960,493
100,7,918,563
100,8,793,563
100,9,793,680
100,10,751,868
100,11,876,563
100,12,960,727
100,13,960,892
101,0,918,305
101,1,876,375
101,2,793,375
101,3,751,493
101,4,834,563
101,5,960,375
101,6,960,493
101,7,918,563
101,8,793,563
101,9,834,680
101,10,751,845
101,11,918,563
101,12,960,727
101,13,960,892
102,0,960,305
102,1,876,399
102,2,793,399
102,3,793,493
102,4,876,563
102,5,960,399
102,6,960,493
102,7,918,563
102,8,793,563
102,9,834,680
102,10,751,845
102,11,918,563
102,12,960,727
102,13,960,892
103,0,960,305
103,1,876,399
103,2,793,399
103,3,793,493
103,4,834,563
103,5,960,399
103,6,960,493
103,7,918,563
103,8,793,563
103,9,834,680
103,10,751,892
103,11,918,563
103,12,960,727
103,13,960,892
104,0,918,305
104,1,876,399
104,2,834,375
104,3,751,469
104,4,834,563
104,5,960,399
104,6,960,493
104,7,918,563
104,8,834,563
104,9,834,680
104,10,751,892
104,11,918,563
104,12,960,727
104,13,960,892
105,0,876,305
105,1,876,399
105,2,834,399
105,3,751,446
105,4,751,516
105,5,960,399
105,6,960,493
105,7,960,540
105,8,834,540
105,9,876,633
105,10,918,727
105,11,918,540
105,12,918,633
105,13,960,727
106,0,918,305
106,1,876,399
106,2,834,399
106,3,751,493
106,4,793,540
106,5,960,399
106,6,960,493
106,7,918,563
106,8,834,586
106,9,834,680
106,10,751,845
106,11,918,586
106,12,960,727
106,13,960,892
107,0,960,328
107,1,876,399
107,2,834,399
107,3,751,493
107,4,793,540
107,5,960,422
107,6,960,493
107,7,918,563
107,8,834,586
107,9,834,680
107,10,793,821
107,11,918,586
107,12,960,727
107,13,960,892
108,0,960,352
108,1,876,399
108,2,834,399
108,3,751,469
108,4,793,540
108,5,960,399
108,6,960,493
108,7,960,540
108,8,834,540
108,9,834,657
108,10,834,727
108,11,918,563
108,12,918,633
108,13,960,727
109,0,960,328
109,1,876,399
109,2,834,399
109,3,751,493
109,4,793,540
109,5,960,399
109,6,960,493
109,7,960,563
109,8,834,586
109,9,834,704
109,10,793,845
109,11,918,586
109,12,960,727
109,13,960,892
110,0,918,328
110,1,918,399
110,2,834,399
110,3,751,493
110,4,793,540
110,5,960,399
110,6,960,493
110,7,960,563
110,8,834,563
110,9,834,680
110,10,834,751
110,11,918,563
110,12,918,680
110,13,960,727
111,0,960,328
111,1,918,399
111,2,834,399
111,3,751,516
111,4,834,540
111,5,960,399
111,6,960,516
111,7,960,563
111,8,834,586
111,9,876,704
111,11,918,586
111,12,960,727
112,0,1001,328
112,1,918,399
112,2,834,399
112,3,751,493
112,4,793,540
112,5,960,399
112,6,960,493
112,7,960,540
112,8,834,563
112,9,834,680
112,10,793,798
112,11,918,563
112,12,960,680
112,13,960,751
113,0,960,328
113,1,918,399
113,2,876,399
113,3,751,469
113,4,793,540
113,5,960,399
113,6,1001,493
113,7,960,563
113,8,834,586
113,9,834,704
113,10,793,821
113,11,918,586
113,12,960,680
114,0,1001,352
114,1,918,399
114,2,876,399
114,3,751,469
114,4,793,516
114,5,1001,422
114,6,1001,493
114,7,960,540
114,8,834,563
114,9,876,657
114,10,834,751
114,11,918,563
114,12,960,657
115,0,960,328
115,1,918,422
115,2,876,422
115,3,793,493
115,4,834,540
115,5,1001,422
115,6,1001,516
115,7,960,563
115,8,834,586
115,9,834,704
115,10,793,821
115,11,918,586
115,12,960,704
116,0,1043,328
116,1,918,422
116,2,876,422
116,3,793,493
116,4,834,540
116,5,1001,422
116,6,1001,516
116,7,1001,540
116,8,876,586
116,9,876,727
116,10,751,939
116,11,960,586
116,12,960,727
117,0,1043,352
117,1,960,422
117,2,876,422
117,3,793,493
117,4,876,563
117,5,1001,422
117,6,1001,493
117,7,1001,540
117,8,876,586
117,9,876,704
117,10,751,939
117,11,960,586
117,12,960,704
118,1,960,422
118,2,960,399
118,3,793,469
118,4,876,540
118,5,1001,422
118,6,1001,469
118,7,1001,516
118,8,876,563
118,9,876,704
118,10,960,633
118,11,918,563
118,12,876,704
118,13,960,633
119,0,960,610
119,1,960,610
119,2,918,610
119,3,793,493
119,4,960,633
119,5,960,610
119,6,793,493
119,7,1001,399
119,8,834,493
119,9,709,422
119,10,1001,399
119,12,709,422
119,13,1001,399
120,0,918,586
120,1,960,610
120,2,960,610
120,3,960,633
120,4,1043,399
120,5,960,586
120,7,1001,399
120,9,751,446
120,10,1001,399
120,12,751,446
120,13,1001,399
121,0,1085,399
121,1,1001,422
121,2,1001,422
121,4,960,610
121,5,1043,422
121,8,918,563
121,9,876,727
121,10,876,774
121,11,918,563
121,12,751,446
122,0,1126,375
122,1,1043,422
122,2,1001,422
122,3,876,493
122,4,918,563
122,5,1085,422
122,8,918,563
122,9,793,446
122,11,960,563
122,12,793,446
123,0,1043,610
123,1,1043,610
123,2,1043,422
123,4,1043,633
123,5,1043,610
123,6,1126,540
123,7,1043,633
123,8,918,516
123,10,834,469
123,11,918,540
123,13,834,469
124,0,1168,375
124,1,1085,446
124,2,1043,446
124,3,918,516
124,4,1001,586
124,5,1126,422
124,6,1126,493
124,7,1126,540
124,8,960,610
124,9,918,751
124,10,751,939
124,11,1001,610
124,12,1085,727
124,13,1126,774
125,0,1210,399
125,1,1085,446
125,2,1043,469
125,3,960,563
125,4,1085,610
125,5,1126,446
125,6,1168,540
125,7,1126,586
125,8,960,633
125,9,918,774
125,10,751,939
125,11,1043,633
125,12,1126,751
125,13,1126,798
126,0,1210,399
126,1,1085,469
126,2,1043,493
126,3,1001,610
126,4,1126,610
126,5,1126,446
126,6,1210,516
126,7,1210,586
126,8,1001,657
126,9,918,774
126,10,793,915
126,11,1085,657
126,12,1168,774
126,13,1252,939
127,0,1210,446
127,1,1126,469
127,2,1085,493
127,3,1043,633
127,4,1168,633
127,5,1126,469
127,6,1252,516
127,7,1252,446
127,8,1001,633
127,9,960,798
127,10,793,915
127,11,1085,633
127,12,1210,774
127,13,1252,915
128,0,1252,446
128,1,1126,469
128,2,1126,493
128,3,1126,586
128,4,1168,610
128,5,1168,446
128,6,1168,399
128,8,1043,610
128,9,960,774
128,10,751,915
128,11,1085,610
128,12,1085,680
129,0,1293,446
129,1,1168,469
129,2,1168,493
129,3,1168,610
129,4,1252,633
129,5,1168,469
129,6,1168,563
129,7,1252,586
129,8,1043,633
129,9,1001,798
129,10,793,915
129,11,1085,633
129,12,1210,704
129,13,1210,798
130,0,1293,469
130,1,1210,469
130,2,1210,516
130,3,1210,633
130,4,1293,610
130,5,1210,422
130,6,1335,446
130,7,1419,516
130,8,1043,633
130,9,960,798
130,10,793,915
130,11,1126,633
130,12,1210,751
130,13,1252,915
131,0,1335,446
131,1,1210,469
131,2,1210,516
131,3,1252,633
131,4,1335,610
131,5,1210,422
131,6,1335,446
131,7,1419,493
131,8,1043,633
131,9,1001,798
131,10,793,892
131,11,1126,633
131,12,1210,774
132,0,1335,469
132,1,1252,469
132,2,1210,516
132,3,1293,610
132,4,1419,586
